date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-29,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-29,deaths,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-29,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-29,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-29,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-29,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-29,infections,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-29,Rt,2.66,2.92,3.04,3.02,3.14,3.28,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-29,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-29,deaths,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-29,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-29,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-29,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-29,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-29,infections,0,0,0,0,0,0,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-29,Rt,2.66,2.92,3.04,3.02,3.14,3.28,Maintain Status Quo,Iraq,IRQ,2020-07-04,v3
2020-01-29,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-29,deaths,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-29,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-29,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-29,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-29,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-29,infections,0,0,0,0,0,0,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-29,Rt,2.66,2.92,3.04,3.02,3.14,3.28,Relax Interventions 50%,Iraq,IRQ,2020-07-04,v3
2020-01-30,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
2020-01-30,deaths,0,0,0,0,0,0,Additional 50% Reduction,Iraq,IRQ,2020-07-04,v3
