date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-02-06,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Mali,MLI,2020-07-04,v3
2020-02-06,deaths,0,0,0,0,0,0,Additional 50% Reduction,Mali,MLI,2020-07-04,v3
2020-02-06,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Mali,MLI,2020-07-04,v3
2020-02-06,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Mali,MLI,2020-07-04,v3
2020-02-06,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Mali,MLI,2020-07-04,v3
2020-02-06,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Mali,MLI,2020-07-04,v3
2020-02-06,infections,0,0,0,0,0,0,Additional 50% Reduction,Mali,MLI,2020-07-04,v3
2020-02-06,Rt,2.22,2.31,2.38,2.39,2.45,2.6,Additional 50% Reduction,Mali,MLI,2020-07-04,v3
2020-02-06,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Mali,MLI,2020-07-04,v3
2020-02-06,deaths,0,0,0,0,0,0,Maintain Status Quo,Mali,MLI,2020-07-04,v3
2020-02-06,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Mali,MLI,2020-07-04,v3
2020-02-06,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Mali,MLI,2020-07-04,v3
2020-02-06,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Mali,MLI,2020-07-04,v3
2020-02-06,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Mali,MLI,2020-07-04,v3
2020-02-06,infections,0,0,0,0,0,0,Maintain Status Quo,Mali,MLI,2020-07-04,v3
2020-02-06,Rt,2.22,2.31,2.38,2.39,2.45,2.6,Maintain Status Quo,Mali,MLI,2020-07-04,v3
2020-02-06,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Mali,MLI,2020-07-04,v3
2020-02-06,deaths,0,0,0,0,0,0,Relax Interventions 50%,Mali,MLI,2020-07-04,v3
2020-02-06,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Mali,MLI,2020-07-04,v3
2020-02-06,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Mali,MLI,2020-07-04,v3
2020-02-06,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Mali,MLI,2020-07-04,v3
2020-02-06,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Mali,MLI,2020-07-04,v3
2020-02-06,infections,0,0,0,0,0,0,Relax Interventions 50%,Mali,MLI,2020-07-04,v3
2020-02-06,Rt,2.22,2.31,2.38,2.39,2.45,2.6,Relax Interventions 50%,Mali,MLI,2020-07-04,v3
2020-02-06,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Mali,MLI,2020-07-04,v3
