date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-04-27,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-07-04,v3
2020-04-27,deaths,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-07-04,v3
2020-04-27,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-07-04,v3
2020-04-27,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-07-04,v3
2020-04-27,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-07-04,v3
2020-04-27,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-07-04,v3
2020-04-27,infections,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-07-04,v3
2020-04-27,Rt,1.3,1.56,1.77,1.82,2.03,2.62,Additional 50% Reduction,Gambia,GMB,2020-07-04,v3
2020-04-27,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-07-04,v3
2020-04-27,deaths,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-07-04,v3
2020-04-27,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-07-04,v3
2020-04-27,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-07-04,v3
2020-04-27,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-07-04,v3
2020-04-27,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-07-04,v3
2020-04-27,infections,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-07-04,v3
2020-04-27,Rt,1.3,1.56,1.77,1.82,2.03,2.62,Maintain Status Quo,Gambia,GMB,2020-07-04,v3
2020-04-27,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Gambia,GMB,2020-07-04,v3
2020-04-27,deaths,0,0,0,0,0,0,Relax Interventions 50%,Gambia,GMB,2020-07-04,v3
2020-04-27,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Gambia,GMB,2020-07-04,v3
